,0,1
0,236.7688,
1,236.8024,
2,236.7914,
3,236.7894,
4,236.8027,
5,236.787,
6,236.8116,
7,236.7929,
8,236.8082,
9,236.7961,
10,236.8282,
11,236.8612,
12,236.8681,
13,236.8905,
14,236.9257,
15,236.9444,
16,236.9248,
17,236.9314,
18,236.9567,
19,237.0134,
20,237.0268,
21,237.0396,
22,237.0206,
23,237.0337,
24,237.0458,
25,237.0433,
26,237.0449,
27,237.0321,
28,236.9926,
29,237.0301,
30,237.0249,
31,237.0708,
32,237.0829,
33,237.0918,
34,237.0801,
35,237.0874,
36,237.0551,
37,237.1109,
38,237.1297,
39,237.1476,
40,237.1454,
41,237.1887,
42,237.1862,
43,237.2135,
44,237.1626,
45,237.1265,
46,237.1699,
47,237.1373,
48,237.1263,
49,237.1712,
50,237.1077,
51,237.1597,
52,237.1368,
53,237.1441,
54,237.083,
55,237.1049,
56,237.1142,
57,237.1139,
58,237.0874,
59,237.0721,
60,237.0416,
61,237.0031,
62,237.0421,
63,237.0626,
64,237.0874,
65,237.1469,
66,237.1726,
67,237.2212,
68,237.2363,
69,237.2334,
70,237.2189,
71,237.1833,
72,237.1656,
73,237.1724,
74,237.1527,
75,237.178,
76,237.1629,
77,237.1653,
78,237.2004,
79,237.1798,
80,237.1817,
81,237.1504,
82,237.1637,
83,237.1606,
84,237.1489,
85,237.1338,
86,237.1144,
87,237.1515,
88,237.1192,
89,237.1107,
90,237.1533,
91,237.1469,
92,237.1633,
93,237.1683,
94,237.1442,
95,237.143,
96,237.1709,
97,237.1732,
98,237.1942,
99,237.2203,
100,237.2121,
101,237.1764,
102,237.1588,
103,237.165,
104,237.1774,
105,237.1874,
106,237.1397,
107,237.0919,
108,237.1159,
109,237.1148,
110,237.1392,
111,237.092,
112,237.1041,
113,237.1121,
114,237.1217,
115,237.0964,
116,237.1595,
117,237.1627,
118,237.1145,
119,237.0668,
120,237.0289,
121,236.951,
122,236.9427,
123,236.9349,
124,236.9455,
125,236.9199,
126,236.8702,
127,236.8583,
128,236.8466,
129,236.8434,
130,236.8251,
131,236.8043,
132,236.762,
133,236.7223,
134,236.7622,
135,236.7959,
136,236.8213,
137,236.7903,
138,236.7586,
139,236.7693,
140,236.8131,
141,236.8116,
142,236.8226,
143,236.8156,
144,236.8282,
145,236.8023,
146,236.8269,
147,236.8029,
148,236.8223,
149,236.8288,
150,236.8624,
151,236.8034,
152,236.8023,
153,236.8478,
154,236.8647,
155,236.8451,
156,236.8358,
157,236.825,
158,236.8163,
159,236.855,
160,236.824,
161,236.8269,
162,236.8095,
163,236.8076,
164,236.8109,
165,236.8416,
166,236.8566,
167,236.9128,
168,236.87,
169,236.8742,
170,236.9451,
171,236.9334,
172,236.8903,
173,236.821,
174,236.79,
175,236.7238,
176,236.7311,
177,236.7879,
178,236.7272,
179,236.7648,
180,236.7702,
181,236.8115,
182,236.8028,
183,236.8448,
184,236.7999,
185,236.8155,
186,236.7837,
187,236.8193,
188,236.7954,
189,236.775,
190,236.7916,
191,236.8622,
192,236.9007,
193,236.9405,
194,236.9414,
195,236.9482,
196,236.93900000000002,
197,236.8695,
198,236.8612,
199,236.8796,
200,236.9182,
201,236.9228,
202,236.8686,
203,236.8657,
204,236.8356,
205,236.8571,
206,236.9132,
207,236.9192,
208,236.922,
209,236.9439,
210,236.9891,
211,236.9415,
212,236.9247,
213,236.9334,
214,236.9248,
215,236.8988,
216,236.8761,
217,236.8311,
218,236.8714,
219,236.90200000000002,
220,236.9532,
221,237.0017,
222,237.0247,
223,236.9783,
224,237.0043,
225,237.0095,
226,237.0046,
227,236.9912,
228,236.9342,
229,236.9348,
230,236.9768,
231,237.0282,
232,237.0175,
233,237.0218,
234,237.0562,
235,237.0814,
236,237.0744,
237,237.02900000000002,
238,237.0111,
239,237.0353,
240,237.0056,
241,237.0029,
242,236.9524,
243,236.9679,
244,236.9865,
245,237.0009,
246,236.9848,
247,236.9642,
248,236.9364,
249,236.9436,
250,236.9578,
251,236.9293,
252,236.9322,
253,236.9132,
254,236.9107,
255,236.8814,
256,236.9158,
257,236.8804,
258,236.8594,
259,236.8161,
260,236.8192,
261,236.8446,
262,236.8674,
263,236.9062,
264,236.8966,
265,236.8923,
266,236.88299999999998,
267,236.9104,
268,236.9016,
269,236.9274,
270,236.9164,
271,236.9346,
272,236.9138,
273,236.8979,
274,236.8099,
275,236.8053,
276,236.8197,
277,236.8302,
278,236.8297,
279,236.794,
280,236.7668,
281,236.8101,
282,236.84400000000002,
283,236.8812,
284,236.8758,
285,236.8847,
286,236.9022,
287,236.93900000000002,
288,236.9651,
289,236.9608,
290,236.9076,
291,236.9095,
292,236.854,
293,236.8656,
294,236.8328,
295,236.8085,
296,236.7853,
297,236.8084,
298,236.7421,
299,236.7167,
300,236.7675,
301,236.7979,
302,236.8334,
303,236.8218,
304,236.8465,
305,236.8251,
306,236.8171,
307,236.7805,
308,236.7895,
309,236.7991,
310,236.8037,
311,236.7687,
312,236.7814,
313,236.7286,
314,236.7326,
315,236.7783,
316,236.8413,
317,236.875,
318,236.8575,
319,236.8749,
320,236.8881,
321,236.90099999999998,
322,236.9165,
323,236.9079,
324,236.9167,
325,236.9285,
326,236.9178,
327,236.9617,
328,236.9306,
329,236.9122,
330,236.9202,
331,236.9013,
332,236.9329,
333,236.9413,
334,236.9402,
335,236.8931,
336,236.91,
337,236.9095,
338,236.9139,
339,236.9014,
340,236.9452,
341,236.9181,
342,236.8709,
343,236.8986,
344,236.9386,
345,236.955,
346,236.9665,
347,236.9064,
348,236.9521,
349,236.9166,
350,236.9062,
351,236.9375,
352,236.9673,
353,236.9484,
354,236.9632,
355,236.983,
356,237.0043,
357,237.0151,
358,237.0562,
359,237.0094,
360,237.0499,
361,237.0645,
362,237.0766,
363,237.0706,
364,237.0511,
365,237.0347,
366,237.0576,
367,237.109,
368,237.1505,
369,237.1091,
370,237.0748,
371,237.0296,
372,237.0348,
373,236.9955,
374,237.00799999999998,
375,236.9918,
376,236.9584,
377,236.9241,
378,236.9707,
379,236.9718,
380,236.9993,
381,236.9744,
382,236.9927,
383,236.9996,
384,237.0121,
385,236.97799999999998,
386,236.9799,
387,237.011,
388,237.0096,
389,236.9852,
390,236.9875,
391,237.0135,
392,237.0501,
393,237.0515,
394,237.0653,
395,237.0404,
396,237.0557,
397,237.0237,
398,237.048,
399,237.0446,
400,237.1095,
401,237.0955,
402,237.0837,
403,237.0897,
404,237.0389,
405,237.0361,
406,237.0449,
407,237.0512,
408,237.0211,
409,237.0194,
410,237.0516,
411,237.09400000000002,
412,237.0458,
413,236.9943,
414,236.9968,
415,237.0048,
416,237.0037,
417,236.9974,
418,236.9596,
419,236.9603,
420,236.9797,
421,236.9801,
422,236.9625,
423,236.9972,
424,236.9937,
425,236.9509,
426,236.9528,
427,236.925,
428,236.9747,
429,236.9585,
430,236.9949,
431,236.9795,
432,237.0401,
433,236.9903,
434,236.9574,
435,236.977,
436,236.968,
437,236.9781,
438,236.997,
439,237.0175,
440,236.9701,
441,236.9882,
442,236.9806,
443,236.9752,
444,236.9772,
445,236.9673,
446,236.9783,
447,236.9755,
448,236.9764,
449,236.9378,
450,236.94799999999998,
451,236.9707,
452,236.9708,
453,237.0204,
454,237.0498,
455,237.0924,
456,237.0856,
457,237.0785,
458,237.0723,
459,237.0761,
460,237.0689,
461,237.0599,
462,237.0573,
463,237.0889,
464,237.0996,
465,237.1133,
466,237.1818,
467,237.2404,
468,237.2129,
469,237.2172,
470,237.1911,
471,237.1847,
472,237.2223,
473,237.1931,
474,237.1989,
475,237.1562,
476,237.1726,
477,237.1524,
478,237.1671,
479,237.1965,
480,237.2135,
481,237.2092,
482,237.2076,
483,237.2394,
484,237.3118,
485,237.3002,
486,237.2649,
487,237.2642,
488,237.2526,
489,237.2108,
490,237.275,
491,237.2753,
492,237.2396,
493,237.3192,
494,237.3184,
495,237.2826,
496,237.2998,
497,237.2402,
498,237.2671,
499,237.2939,
500,237.2832,
501,237.2688,
502,237.2167,
503,237.2306,
504,237.2241,
505,237.25900000000001,
506,237.2697,
507,237.2459,
508,237.2428,
509,237.237,
510,237.2147,
511,237.2144,
512,237.1636,
513,237.1745,
514,237.2097,
515,237.168,
516,237.1632,
517,237.2019,
518,237.2635,
519,237.2775,
520,237.2724,
521,237.3121,
522,237.3451,
523,237.3138,
524,237.3331,
525,237.3777,
526,237.3653,
527,237.3425,
528,237.3227,
529,237.2974,
530,237.3391,
531,237.3249,
532,237.3381,
533,237.3751,
534,237.3676,
535,237.34099999999998,
536,237.3334,
537,237.2811,
538,237.2796,
539,237.2803,
540,237.2576,
541,237.2374,
542,237.2334,
543,237.2024,
544,237.1555,
545,237.1978,
546,237.1907,
547,237.142,
548,237.1454,
549,237.1269,
550,237.1559,
551,237.1717,
552,237.1629,
553,237.1207,
554,237.0958,
555,237.1292,
556,237.1581,
557,237.2059,
558,237.1833,
559,237.2041,
560,237.2101,
561,237.2032,
562,237.1492,
563,237.1328,
564,237.1047,
565,237.0565,
566,237.0349,
567,237.0212,
568,237.0329,
569,237.0177,
570,236.9685,
571,236.9827,
572,236.9923,
573,236.976,
574,236.957,
575,236.933,
576,236.9921,
577,237.0504,
578,236.9957,
579,237.0341,
580,237.0616,
581,237.0587,
582,237.1029,
583,237.1031,
584,237.1116,
585,237.1282,
586,237.1537,
587,237.2122,
588,237.2187,
589,237.2125,
590,237.218,
591,237.2015,
592,237.25,
593,237.21900000000002,
594,237.1855,
595,237.1369,
596,237.1681,
597,237.1614,
598,237.1349,
599,237.0975,
600,237.0876,
601,237.072,
602,237.0922,
603,237.1351,
604,237.1393,
605,237.1391,
606,237.1259,
607,237.0833,
608,237.0444,
609,237.0677,
610,237.0609,
611,237.0482,
612,237.0631,
613,237.042,
614,237.0386,
615,237.0449,
616,237.0524,
617,237.0459,
618,237.0515,
619,237.0283,
620,237.0125,
621,237.0567,
622,237.0381,
623,237.0398,
624,237.0075,
625,237.0496,
626,237.0469,
627,237.0467,
628,237.041,
629,237.0598,
630,237.0751,
631,237.1014,
632,237.0816,
633,237.1269,
634,237.149,
635,237.2276,
636,237.2439,
637,237.2718,
638,237.3134,
639,237.3211,
640,237.2866,
641,237.2815,
642,237.3535,
643,237.3207,
644,237.27900000000002,
645,237.264,
646,237.2996,
647,237.2899,
648,237.3129,
649,237.296,
650,237.3015,
651,237.2748,
652,237.2748,
653,237.2444,
654,237.2394,
655,237.2224,
656,237.2067,
657,237.1831,
658,237.1607,
659,237.2142,
660,237.2348,
661,237.1933,
662,237.2186,
663,237.1399,
664,237.1067,
665,237.109,
666,237.1789,
667,237.1955,
668,237.2197,
669,237.2458,
670,237.2413,
671,237.2328,
672,237.1898,
673,237.132,
674,237.1438,
675,237.1314,
676,237.0961,
677,237.0756,
678,237.0917,
679,237.1379,
680,237.1089,
681,237.0902,
682,237.1109,
683,237.1119,
684,237.1853,
685,237.2071,
686,237.1583,
687,237.1683,
688,237.1695,
689,237.1821,
690,237.2138,
691,237.2367,
692,237.2717,
693,237.2974,
694,237.2581,
695,237.2593,
696,237.2359,
697,237.2494,
698,237.2372,
699,237.2929,
700,237.2465,
701,237.1885,
702,237.192,
703,237.1923,
704,237.1636,
705,237.1803,
706,237.1527,
707,237.137,
708,237.1707,
709,237.1545,
710,237.1905,
711,237.2087,
712,237.2078,
713,237.2227,
714,237.206,
715,237.1273,
716,237.0992,
717,237.088,
718,237.0496,
719,237.021,
720,237.055,
721,237.0563,
722,237.0936,
723,237.1314,
724,237.0599,
725,237.0899,
726,237.13,
727,237.1905,
728,237.2412,
729,237.2571,
730,237.2149,
731,237.2039,
732,237.2348,
733,237.19299999999998,
734,237.2425,
735,237.2057,
736,237.2039,
737,237.2128,
738,237.1923,
739,237.1456,
740,237.1727,
741,237.1836,
742,237.1608,
743,237.1679,
744,237.1535,
745,237.1643,
746,237.1663,
747,237.1282,
748,237.1948,
749,237.1868,
750,237.1302,
751,237.1556,
752,237.1831,
753,237.1639,
754,237.1715,
755,237.1591,
756,237.1501,
757,237.2076,
758,237.1891,
759,237.2159,
760,237.2127,
761,237.2148,
762,237.2164,
763,237.2535,
764,237.2972,
765,237.3181,
766,237.2622,
767,237.2311,
768,237.1873,
769,237.18599999999998,
770,237.1695,
771,237.1702,
772,237.233,
773,237.2064,
774,237.1953,
775,237.1448,
776,237.1304,
777,237.1317,
778,237.1106,
779,237.0834,
780,237.0647,
781,237.1001,
782,237.1343,
783,237.1509,
784,237.1565,
785,237.1443,
786,237.1423,
787,237.1174,
788,237.1039,
789,237.1646,
790,237.1529,
791,237.1121,
792,237.1402,
793,237.1366,
794,237.1123,
795,237.0988,
796,237.1149,
797,237.1063,
798,237.1242,
799,237.1178,
800,237.1114,
801,237.0556,
802,237.1376,
803,237.0995,
804,237.0823,
805,237.0844,
806,237.0955,
807,237.0755,
808,237.06799999999998,
809,237.0855,
810,237.0531,
811,237.0985,
812,237.0804,
813,237.1197,
814,237.1294,
815,237.1228,
816,237.1264,
817,237.1887,
818,237.2297,
819,237.22299999999998,
820,237.2436,
821,237.2441,
822,237.232,
823,237.2364,
824,237.2142,
825,237.23,
826,237.2651,
827,237.2484,
828,237.2348,
829,237.2526,
830,237.2125,
831,237.1987,
832,237.1936,
833,237.1695,
834,237.1558,
835,237.1094,
836,237.0783,
837,237.0163,
838,236.9781,
839,236.952,
840,236.9905,
841,236.9806,
842,236.9869,
843,237.0304,
844,236.9926,
845,236.9529,
846,236.9284,
847,236.9723,
848,236.9717,
849,236.9694,
850,236.9239,
851,236.9313,
852,236.8979,
853,236.9073,
854,236.9719,
855,236.9727,
856,237.0103,
857,237.0202,
858,237.0031,
859,237.0251,
860,236.9585,
861,236.9839,
862,237.0033,
863,237.0082,
864,236.9875,
865,236.9798,
866,237.0161,
867,237.0175,
868,237.0555,
869,237.0393,
870,237.046,
871,237.0479,
872,237.0454,
873,237.0284,
874,236.9912,
875,237.0637,
876,237.0716,
877,237.0758,
878,237.0967,
879,237.1469,
880,237.1066,
881,237.1094,
882,237.1622,
883,237.1587,
884,237.1371,
885,237.0657,
886,237.1048,
887,237.1111,
888,237.0882,
889,237.0709,
890,237.0244,
891,237.0184,
892,237.0013,
893,237.0116,
894,236.9603,
895,236.9274,
896,236.942,
897,236.9389,
898,236.9382,
899,236.9028,
900,236.93,
901,236.9546,
902,236.93400000000003,
903,236.9351,
904,236.8534,
905,236.838,
906,236.78099999999998,
907,236.7835,
908,236.7966,
909,236.8105,
910,236.7967,
911,236.8199,
912,236.7994,
913,236.8214,
914,236.8199,
915,236.8413,
916,236.8523,
917,236.8034,
918,236.8228,
919,236.7908,
920,236.7278,
921,236.7113,
922,236.7734,
923,236.7883,
924,236.7976,
925,236.7995,
926,236.8616,
927,236.831,
928,236.8709,
929,236.8892,
930,236.8939,
931,236.9046,
932,236.8571,
933,236.78799999999998,
934,236.7953,
935,236.8478,
936,236.8535,
937,236.8677,
938,236.8676,
939,236.8475,
940,236.8501,
941,236.8776,
942,236.9012,
943,236.9212,
944,236.8686,
945,236.8884,
946,236.8931,
947,236.8875,
948,236.8778,
949,236.9188,
950,236.9241,
951,236.9053,
952,236.90900000000002,
953,236.9031,
954,236.8627,
955,236.8744,
956,236.855,
957,236.8446,
958,236.8266,
959,236.7961,
960,236.8252,
961,236.8241,
962,236.8287,
963,236.8847,
964,236.84,
965,236.8809,
966,236.8362,
967,236.8578,
968,236.8117,
969,236.8483,
970,236.8573,
971,236.8637,
972,236.8827,
973,236.8702,
974,236.8629,
975,236.8647,
976,236.8713,
977,236.8733,
978,236.8822,
979,236.9361,
980,236.9073,
981,236.8826,
982,236.8724,
983,236.9022,
984,236.8924,
985,236.9191,
986,236.9144,
987,236.9283,
988,236.96400000000003,
989,236.9481,
990,236.9651,
991,237.0148,
992,236.9876,
993,236.9865,
994,236.979,
995,237.0241,
996,237.0231,
997,237.0265,
998,237.0421,
999,237.0013,
1000,236.9767,
